profile_id,profile,profile_enabled,enabled,bin_index,R,rate,start,duration,n_bins,r_min,r_max,gain
1,Nonnegative-R region,1,1,536,1.5942857142857143,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,537,1.6028571428571432,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,538,1.611428571428572,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,539,1.62,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,540,1.628571428571429,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,541,1.637142857142857,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,542,1.645714285714286,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,543,1.6542857142857148,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,544,1.6628571428571428,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,545,1.6714285714285717,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,546,1.6800000000000006,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,547,1.6885714285714286,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,548,1.6971428571428575,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,549,1.7057142857142855,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,550,1.7142857142857144,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,551,1.7228571428571433,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,552,1.7314285714285713,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,553,1.7400000000000002,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,554,1.748571428571429,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,555,1.7571428571428571,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,556,1.765714285714286,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,557,1.774285714285715,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,558,1.782857142857143,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,559,1.7914285714285718,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,560,1.7999999999999998,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,561,1.8085714285714287,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,562,1.8171428571428576,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,563,1.8257142857142856,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,564,1.8342857142857145,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,565,1.8428571428571434,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,566,1.8514285714285714,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,567,1.8600000000000003,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,568,1.8685714285714292,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,569,1.8771428571428572,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,570,1.8857142857142861,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,571,1.8942857142857141,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,572,1.902857142857143,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,573,1.911428571428572,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,574,1.92,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,575,1.9285714285714288,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,576,1.9371428571428577,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,577,1.9457142857142857,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,578,1.9542857142857146,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,579,1.9628571428571435,20.0,0.0,0.19693793171894836,701,-3.0,3.0,1.0
