bin_index,R,planned_base_exposure,delivered_base_exposure
420,0.6000000000000001,0.0,0.0
421,0.6085714285714285,0.0,0.0
422,0.6171428571428574,0.0,0.0
423,0.6257142857142859,0.0,0.0
424,0.6342857142857143,0.0,0.0
425,0.6428571428571432,0.0,0.0
426,0.6514285714285717,0.0,0.0
427,0.6600000000000001,0.0,0.0
428,0.6685714285714286,0.0,0.0
429,0.6771428571428575,0.0,0.0
430,0.6857142857142859,0.0,0.0
431,0.6942857142857144,0.0,0.0
432,0.7028571428571428,0.0,0.0
433,0.7114285714285717,0.0,0.0
434,0.7200000000000002,0.0,0.0
435,0.7285714285714286,0.0,0.0
436,0.7371428571428575,0.0,0.0
437,0.745714285714286,0.0,0.0
438,0.7542857142857144,0.0,0.0
439,0.7628571428571429,0.0,0.0
440,0.7714285714285718,0.0,0.0
441,0.7800000000000002,0.0,0.0
442,0.7885714285714287,0.0,0.0
443,0.7971428571428572,0.0,0.0
444,0.805714285714286,0.0,0.0
445,0.8142857142857145,0.0,0.0
446,0.822857142857143,0.0,0.0
447,0.8314285714285714,0.0,0.0
448,0.8400000000000003,0.0,0.0
449,0.8485714285714288,0.0,0.0
450,0.8571428571428572,0.0,0.0
451,0.8657142857142861,0.0,0.0
452,0.8742857142857146,0.0,0.0
453,0.882857142857143,0.0,0.0
454,0.8914285714285715,0.0,0.0
455,0.9000000000000004,0.0,0.0
456,0.9085714285714288,0.0,0.0
457,0.9171428571428573,0.0,0.0
458,0.9257142857142857,0.0,0.0
459,0.9342857142857146,0.0,0.0
460,0.9428571428571431,0.0,0.0
461,0.9514285714285715,0.0,0.0
462,0.9600000000000004,0.0,0.0
463,0.9685714285714289,0.0,0.0
464,0.9771428571428573,0.0,0.0
465,0.9857142857142858,0.0,0.0
466,0.9942857142857147,0.0,0.0
467,1.0028571428571427,0.0,0.0
468,1.0114285714285716,0.0,0.0
469,1.0200000000000005,0.0,0.0
470,1.0285714285714285,0.0,0.0
471,1.0371428571428574,0.0,0.0
472,1.0457142857142863,0.0,0.0
473,1.0542857142857143,0.0,0.0
474,1.0628571428571432,0.0,0.0
475,1.071428571428572,0.0,0.0
476,1.08,0.0,0.0
477,1.088571428571429,0.0,0.0
478,1.097142857142857,0.0,0.0
479,1.1057142857142859,0.0,0.0
480,1.1142857142857148,0.0,0.0
481,1.1228571428571428,0.0,0.0
482,1.1314285714285717,0.0,0.0
483,1.1400000000000006,0.0,0.0
484,1.1485714285714286,1.0,1.0
485,1.1571428571428575,1.0487514863258027,1.0487514863258154
486,1.1657142857142855,1.0984542211652795,1.0984542211652797
487,1.1742857142857144,1.1491082045184304,1.1491082045184422
488,1.1828571428571433,1.2007134363852559,1.200713436385243
489,1.1914285714285713,1.253269916765755,1.2532699167657542
490,1.2000000000000002,1.3067776456599285,1.3067776456599338
491,1.208571428571429,1.3612366230677764,1.3612366230677846
492,1.217142857142857,1.4166468489892985,1.4166468489892785
493,1.225714285714286,1.4730083234244946,1.4730083234244717
494,1.2342857142857149,1.5303210463733652,1.5303210463733916
495,1.2428571428571429,1.5885850178359098,1.5885850178359053
496,1.2514285714285718,1.6478002378121281,1.647800237812117
497,1.2599999999999998,1.7079667063020212,1.7079667063020434
498,1.2685714285714287,1.7690844233055887,1.769084423305603
499,1.2771428571428576,1.8311533888228295,1.8311533888228149
500,1.2857142857142856,1.894173602853746,1.8941736028537184
501,1.2942857142857145,1.958145065398335,1.9581450653983539
502,1.3028571428571434,2.0230677764565996,2.023067776456603
503,1.3114285714285714,2.0889417360285374,2.088941736028511
504,1.3200000000000003,2.1557669441141503,2.1557669441141956
505,1.3285714285714292,2.223543400713436,2.2235434007134653
506,1.3371428571428572,2.292271105826397,2.2922711058263876
507,1.345714285714286,2.361950059453032,2.3619500594530014
508,1.354285714285714,2.432580261593341,2.432580261593347
509,1.362857142857143,2.5041617122473245,2.504161712247308
510,1.3714285714285719,2.5766944114149823,2.5766944114149966
511,1.38,2.650178359096314,2.6501783590963073
512,1.3885714285714288,2.724613555291319,2.724613555291344
513,1.3971428571428577,2.8000000000000003,2.8000000000000003
514,1.4057142857142857,2.8763376932223537,2.8763376932223266
515,1.4142857142857146,2.9536266349583826,2.9536266349583786
516,1.4228571428571435,3.031866825208085,3.0318668252080494
